driverId,week,hours-logged,miles-logged
873,2,58,3200
302,24,52,3700
712,47,68,1500
468,3,73,2300
404,6,61,3100
943,42,80,600
812,21,57,1800
310,21,50,3800
443,32,74,1800
598,11,79,1400
993,36,80,2300
846,22,50,2000
436,49,62,200
651,8,71,3200
691,30,62,2500
1004,32,55,1400
204,9,56,3300
500,32,53,2100
951,41,55,100
819,5,63,700
977,10,50,3400
849,30,64,3700
433,18,51,1500
778,18,69,600
216,9,54,2700
282,35,61,1700
464,44,80,1400
126,52,77,3800
501,46,60,1500
926,44,76,2000
547,22,72,3900
146,28,51,1600
782,19,64,2300
287,52,67,200
718,2,65,3200
178,21,80,2500
960,46,80,1100
319,3,54,1900
425,27,55,2900
109,50,60,300
517,26,74,1000
134,14,59,400
848,33,53,800
713,51,80,500
222,50,63,1200
298,39,60,1900
844,48,76,3000
139,15,50,1800
17,45,79,2800
953,7,70,3700
36,36,72,400
837,7,50,300
504,32,59,2600
847,28,56,3500
765,26,55,3300
859,38,56,1600
342,20,52,3400
940,1,61,3700
949,13,66,2200
796,49,62,2100
84,34,54,1500
61,3,65,3800
774,23,60,2600
711,51,62,3900
771,5,51,900
765,19,71,1900
251,43,61,4000
664,32,50,0
194,24,58,3200
772,2,79,500
481,48,53,2400
128,42,52,1900
104,37,65,3800
275,44,78,2600
831,27,51,800
583,22,63,2900
252,2,54,1400
526,32,72,3900
666,36,78,1800
182,17,74,2500
531,22,77,2100
104,46,73,800
623,51,80,3000
892,45,59,1400
605,16,65,2500
129,47,76,2000
777,20,74,800
933,21,80,3700
72,23,55,600
632,17,61,1000
845,1,63,2800
661,27,68,3100
468,52,78,1200
397,43,77,800
607,23,50,3900
857,23,80,3800
951,10,69,3000
814,3,50,1600
643,10,80,2600
386,22,75,1100
288,30,75,700
530,14,78,900
685,34,64,2400
831,2,80,3800
434,4,53,400
395,49,75,800
854,15,71,2800
621,23,68,2200
267,2,58,3600
929,51,56,1400
931,47,75,3100
621,24,53,3000
508,19,66,2900
190,39,58,2800
480,8,59,600
335,49,52,4000
519,27,78,800
911,45,54,600
26,50,75,500
814,44,66,1200
414,21,70,300
843,38,59,2900
916,34,66,1300
190,23,68,3600
80,10,78,600
224,46,67,500
376,31,80,3000
61,15,60,600
685,46,77,3500
308,52,74,2500
702,46,58,2100
831,26,73,700
558,39,62,2500
764,37,60,3400
811,12,66,500
697,32,70,3800
925,40,59,2600
338,14,79,2400
418,48,52,3200
690,3,66,2100
789,15,65,2000
686,1,67,200
558,4,67,1400
